"","X","country","year","hourly_compensation"
"1",1,"Australia",1980,8.4399995803833
"2",2,"Austria",1980,8.86999988555908
"3",3,"Belgium",1980,11.7399997711182
"4",4,"Canada",1980,8.86999988555908
"5",5,"Denmark",1980,10.8299999237061
"6",6,"Finland",1980,8.60999965667725
"7",7,"France",1980,8.89999961853027
"8",8,"Greece",1980,3.72000002861023
"9",9,"Hong Kong, China",1980,1.5
"10",10,"Ireland",1980,6.44000005722046
"11",11,"Israel",1980,3.41000008583069
"12",12,"Italy",1980,8.09000015258789
"13",13,"Japan",1980,5.46000003814697
"14",14,"Korea, Rep.",1980,0.94999998807907
"15",15,"Luxembourg",1980,11.4799995422363
"16",16,"Mexico",1980,2.20000004768372
"17",17,"Netherlands",1980,12.0500001907349
"18",18,"New Zealand",1980,5.44000005722046
"19",19,"Norway",1980,11.8000001907349
"20",20,"Portugal",1980,1.99000000953674
"21",21,"Singapore",1980,1.53999996185303
"22",22,"Spain",1980,5.8600001335144
"23",23,"Sri Lanka",1980,0.21999999880791
"24",24,"Sweden",1980,12.3999996185303
"25",25,"Switzerland",1980,10.960000038147
"26",26,"Taiwan",1980,1.02999997138977
"27",27,"United Kingdom",1980,7.51999998092651
"28",28,"United States",1980,9.63000011444092
"29",29,"Australia",1981,9.76000022888184
"30",30,"Austria",1981,7.76999998092651
"31",31,"Belgium",1981,10.2799997329712
"32",32,"Canada",1981,9.78999996185303
"33",33,"Denmark",1981,9.35999965667725
"34",34,"Finland",1981,8.32999992370606
"35",35,"France",1981,7.98000001907349
"36",36,"Greece",1981,3.65000009536743
"37",37,"Hong Kong, China",1981,1.54999995231628
"38",38,"Ireland",1981,5.96999979019165
"39",39,"Israel",1981,3.75
"40",40,"Italy",1981,7.51999998092651
"41",41,"Japan",1981,6.01999998092651
"42",42,"Korea, Rep.",1981,1.00999999046326
"43",43,"Luxembourg",1981,9.42000007629394
"44",44,"Mexico",1981,2.80999994277954
"45",45,"Netherlands",1981,9.89000034332275
"46",46,"New Zealand",1981,5.80999994277954
"47",47,"Norway",1981,11.210000038147
"48",48,"Portugal",1981,1.97000002861023
"49",49,"Singapore",1981,1.86000001430511
"50",50,"Spain",1981,5.51999998092651
"51",51,"Sri Lanka",1981,0.20999999344349
"52",52,"Sweden",1981,11.6999998092651
"53",53,"Switzerland",1981,10.0100002288818
"54",54,"Taiwan",1981,1.22000002861023
"55",55,"United Kingdom",1981,7.26999998092651
"56",56,"United States",1981,10.6199998855591
"57",57,"Australia",1982,9.9399995803833
"58",58,"Austria",1982,7.76000022888184
"59",59,"Belgium",1982,8.93000030517578
"60",60,"Canada",1982,10.6999998092651
"61",61,"Denmark",1982,8.84000015258789
"62",62,"Finland",1982,8.26000022888184
"63",63,"France",1982,7.73999977111816
"64",64,"Greece",1982,4.09999990463257
"65",65,"Hong Kong, China",1982,1.64999997615814
"66",66,"Ireland",1982,6.07000017166138
"67",67,"Israel",1982,3.98000001907349
"68",68,"Italy",1982,7.38000011444092
"69",69,"Japan",1982,5.55000019073486
"70",70,"Korea, Rep.",1982,1.08000004291534
"71",71,"Luxembourg",1982,8.22000026702881
"72",72,"Mexico",1982,1.96000003814697
"73",73,"Netherlands",1982,9.77000045776367
"74",74,"New Zealand",1982,5.73999977111816
"75",75,"Norway",1982,11.0299997329712
"76",76,"Portugal",1982,1.82000005245209
"77",77,"Singapore",1982,2.01999998092651
"78",78,"Spain",1982,5.26000022888184
"79",79,"Sri Lanka",1982,0.23999999463558
"80",80,"Sweden",1982,9.98999977111816
"81",81,"Switzerland",1982,10.3100004196167
"82",82,"Taiwan",1982,1.25
"83",83,"United Kingdom",1982,6.86999988555908
"84",84,"United States",1982,11.4300003051758
"85",85,"Australia",1983,9.27000045776367
"86",86,"Austria",1983,7.78999996185303
"87",87,"Belgium",1983,8.52999973297119
"88",88,"Canada",1983,11.4099998474121
"89",89,"Denmark",1983,8.57999992370606
"90",90,"Finland",1983,7.71000003814697
"91",91,"France",1983,7.65999984741211
"92",92,"Greece",1983,3.76999998092651
"93",93,"Hong Kong, China",1983,1.50999999046326
"94",94,"Ireland",1983,6
"95",95,"Israel",1983,4.38000011444092
"96",96,"Italy",1983,7.6399998664856
"97",97,"Japan",1983,5.96999979019165
"98",98,"Korea, Rep.",1983,1.13999998569489
"99",99,"Luxembourg",1983,7.76999998092651
"100",100,"Mexico",1983,1.4099999666214
"101",101,"Netherlands",1983,9.47999954223633
"102",102,"New Zealand",1983,5.30000019073486
"103",103,"Norway",1983,10.4499998092651
"104",104,"Portugal",1983,1.57000005245209
"105",105,"Singapore",1983,2.27999997138977
"106",106,"Spain",1983,4.53999996185303
"107",107,"Sri Lanka",1983,0.25
"108",108,"Sweden",1983,8.81999969482422
"109",109,"Switzerland",1983,10.3299999237061
"110",110,"Taiwan",1983,1.30999994277954
"111",111,"United Kingdom",1983,6.44999980926514
"112",112,"United States",1983,11.8400001525879
"113",113,"Australia",1984,9.80000019073486
"114",114,"Austria",1984,7.34999990463257
"115",115,"Belgium",1984,7.98000001907349
"116",116,"Canada",1984,11.4099998474121
"117",117,"Denmark",1984,7.98000001907349
"118",118,"Finland",1984,7.92000007629394
"119",119,"France",1984,7.25
"120",120,"Greece",1984,3.73000001907349
"121",121,"Hong Kong, China",1984,1.58000004291534
"122",122,"Ireland",1984,5.90000009536743
"123",123,"Israel",1984,4.17999982833862
"124",124,"Italy",1984,7.30000019073486
"125",125,"Japan",1984,6.17000007629394
"126",126,"Korea, Rep.",1984,1.20000004768372
"127",127,"Luxembourg",1984,7.40000009536743
"128",128,"Mexico",1984,1.55999994277954
"129",129,"Netherlands",1984,8.6899995803833
"130",130,"New Zealand",1984,4.73000001907349
"131",131,"Norway",1984,10.1700000762939
"132",132,"Portugal",1984,1.39999997615814
"133",133,"Singapore",1984,2.52999997138977
"134",134,"Spain",1984,4.44999980926514
"135",135,"Sri Lanka",1984,0.25
"136",136,"Sweden",1984,9.10000038146973
"137",137,"Switzerland",1984,9.52000045776367
"138",138,"Taiwan",1984,1.46000003814697
"139",139,"United Kingdom",1984,5.98999977111816
"140",140,"United States",1984,12.2700004577637
"141",141,"Australia",1985,8.18000030517578
"142",142,"Austria",1985,7.57000017166138
"143",143,"Belgium",1985,8.21000003814697
"144",144,"Canada",1985,11.1999998092651
"145",145,"Denmark",1985,8.02999973297119
"146",146,"Finland",1985,8.30000019073486
"147",147,"France",1985,7.46999979019165
"148",148,"Greece",1985,3.65000009536743
"149",149,"Hong Kong, China",1985,1.73000001907349
"150",150,"Ireland",1985,6.21999979019165
"151",151,"Israel",1985,3.65000009536743
"152",152,"Italy",1985,7.55999994277954
"153",153,"Japan",1985,6.26999998092651
"154",154,"Korea, Rep.",1985,1.23000001907349
"155",155,"Luxembourg",1985,7.42999982833862
"156",156,"Mexico",1985,1.5900000333786
"157",157,"Netherlands",1985,8.72999954223633
"158",158,"New Zealand",1985,4.55000019073486
"159",159,"Norway",1985,10.4700002670288
"160",160,"Portugal",1985,1.48000001907349
"161",161,"Singapore",1985,2.54999995231628
"162",162,"Spain",1985,4.6399998664856
"163",163,"Sri Lanka",1985,0.28000000119209
"164",164,"Sweden",1985,9.57999992370606
